日期,年度,月份,季度,公司,板块,营业收入,营业成本,销售费用,管理费用,研发费用,财务费用,其他收益,利润总额,净利润,经营活动现金流,预算营业收入,预算利润总额,应收账款,存货,资产总额,负债总额,所有者权益
2023-01-01,2023,1,Q1,长永高速,高速运营,9621.18,3880.56,317.83,775.16,196.61,260.02,211.22,4402.23,3420.09,2067.29,10062.1,3219.87,12539.86,5922.83,200118.61,101492.65,98625.96
2023-02-01,2023,2,Q1,长永高速,高速运营,9839.58,3979.97,366.5,930.35,191.23,405.85,237.37,4203.05,3366.83,4709.72,10591.68,3389.34,9961.13,4948.29,201875.83,100251.35,101624.48
2023-03-01,2023,3,Q1,长永高速,高速运营,11547.85,4423.34,326.82,1127.25,205.73,286.41,181.98,5360.29,4037.24,3736.45,11121.26,3558.8,11317.7,5489.58,204365.54,101852.42,102513.12
2023-04-01,2023,4,Q2,长永高速,高速运营,12133.97,4644.41,417.82,1133.04,253.87,331.23,160.19,5513.78,4345.21,3909.99,11508.95,3682.86,9658.1,5064.48,202953.08,100030.78,102922.3
2023-05-01,2023,5,Q2,长永高速,高速运营,11768.91,4839.35,418.31,1129.07,236.39,355.03,281.36,5072.12,4045.52,3771.02,11650.85,3728.27,8202.56,5905.01,202107.71,103326.42,98781.28
2023-06-01,2023,6,Q2,长永高速,高速运营,11879.38,4445.94,431.3,1013.14,277.9,368.35,242.65,5585.39,4238.78,5484.5,11508.95,3682.86,9727.03,5985.36,205777.72,101142.3,104635.41
2023-07-01,2023,7,Q3,长永高速,高速运营,10243.32,4095.55,332.44,874.58,152.69,147.86,220.65,4860.86,3648.05,1559.38,11121.26,3558.8,12423.46,5762.03,202057.03,105812.69,97221.25
2023-08-01,2023,8,Q3,长永高速,高速运营,10299.88,4203.41,304.14,777.39,214.18,332.4,138.05,4606.41,3599.89,2470.56,10591.68,3389.34,11239.48,4428.22,204458.93,99253.31,105205.62
2023-09-01,2023,9,Q3,长永高速,高速运营,9977.27,4170.33,317.68,1025.68,216.49,324.46,235.79,4158.4,3189.84,3920.57,10062.1,3219.87,11091.27,5461.12,205610.02,100381.79,105228.22
2023-10-01,2023,10,Q4,长永高速,高速运营,9732.96,3674.23,300.89,941.62,188.64,263.11,129.43,4493.89,3537.82,2777.41,9674.41,3095.81,11092.08,5419.62,205797.83,102500.25,103297.58
2023-11-01,2023,11,Q4,长永高速,高速运营,8072.37,3072.48,272.12,708.13,217.62,243.75,179.74,3738.02,2875.51,3289.06,9532.51,3050.4,9411.63,5509.29,205807.33,102732.48,103074.85
2023-12-01,2023,12,Q4,长永高速,高速运营,8774.6,3392.84,318.25,854.68,172.17,162.54,89.31,3963.43,3193.35,3272.54,9674.41,3095.81,9313.58,5133.58,209765.6,107695.64,102069.95
2024-01-01,2024,1,Q1,长永高速,高速运营,10583.87,3780.47,386.83,1060.77,213.06,194.37,131.75,5080.13,3860.97,4036.54,10749.48,3481.11,10887.69,5572.14,219107.27,107570.69,111536.58
2024-02-01,2024,2,Q1,长永高速,高速运营,10771.07,4319.86,367.31,1053.77,167.26,226.71,277.37,4913.53,3739.74,3531.92,11315.24,3664.33,10684.52,6258.77,217962.73,107697.44,110265.3
2024-03-01,2024,3,Q1,长永高速,高速运营,11367.62,4259.22,401.22,1111.07,184.33,330.32,258.47,5339.93,4113.9,5054.28,11881.0,3847.54,10547.8,5191.68,215216.41,103425.13,111791.28
2024-04-01,2024,4,Q2,长永高速,高速运营,10950.69,4790.72,335.63,1012.61,190.97,306.47,176.65,4490.93,3452.87,5046.51,12295.17,3981.67,11624.86,5421.77,217006.54,106679.55,110326.99
2024-05-01,2024,5,Q2,长永高速,高速运营,11810.29,4611.86,339.66,1113.43,289.67,330.67,217.29,5342.27,4066.88,2988.25,12446.76,4030.76,10556.29,5354.18,217958.65,106583.68,111374.96
2024-06-01,2024,6,Q2,长永高速,高速运营,12497.42,4916.02,429.8,918.36,230.32,379.44,295.91,5919.4,4696.25,7279.18,12295.17,3981.67,11079.02,5807.62,217129.31,106255.17,110874.14
2024-07-01,2024,7,Q3,长永高速,高速运营,11315.39,4144.05,400.06,1199.83,135.01,287.11,239.63,5388.96,4129.18,5296.18,11881.0,3847.54,10789.4,5696.47,219358.72,106497.69,112861.03
2024-08-01,2024,8,Q3,长永高速,高速运营,11952.48,4807.84,366.2,1218.22,293.93,180.3,214.34,5300.33,4127.62,2462.04,11315.24,3664.33,10018.09,5121.97,219554.73,107726.35,111828.39
2024-09-01,2024,9,Q3,长永高速,高速运营,10983.53,4261.85,339.29,1038.47,196.85,285.18,104.91,4966.81,3894.86,3525.69,10749.48,3481.11,10637.92,7026.68,219544.83,108524.65,111020.18
2024-10-01,2024,10,Q4,长永高速,高速运营,9474.09,3386.43,321.55,837.98,218.1,270.14,172.03,4611.91,3648.14,3517.3,10335.31,3346.99,11731.74,5618.5,220536.86,109956.79,110580.07
2024-11-01,2024,11,Q4,长永高速,高速运营,10048.67,3913.88,337.08,987.9,239.01,266.55,129.55,4433.81,3418.5,3713.69,10183.71,3297.89,8576.77,6918.43,222674.21,109206.6,113467.62
2024-12-01,2024,12,Q4,长永高速,高速运营,9931.41,3753.85,315.03,1058.18,225.17,235.57,134.99,4478.61,3486.76,4693.11,10335.31,3346.99,10655.9,5886.01,222717.34,112251.06,110466.28
2025-01-01,2025,1,Q1,长永高速,高速运营,11542.1,4430.58,230.84,1139.17,208.51,314.34,272.75,5491.4,4364.14,5534.84,11483.12,3762.79,13125.97,6788.36,228291.9,110880.36,117411.54
2025-02-01,2025,2,Q1,长永高速,高速运营,12070.91,5367.77,342.15,1125.64,254.81,244.76,104.79,4840.57,3894.47,3219.09,12087.49,3960.83,10543.63,5967.06,236529.09,109758.77,126770.32
2025-03-01,2025,3,Q1,长永高速,高速运营,12256.4,4735.18,290.19,1343.42,329.19,427.36,259.11,5390.17,4284.38,1799.44,12691.87,4158.87,10706.9,5936.16,232316.26,111705.43,120610.83
